open,high,low,close,volume,vwap,timestamp,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,previous,change,average_20_change,put_setup,call_setup,call_buy,call_sell,put_buy,put_sell,call_prices,put_prices
396.8,396.88,396.8,396.85,28919.0,396.8252,2023-01-23 14:27:00+00:00,153,2023-01-23,14:27:00,396.6697077951045,396.52929699134233,396.4383366464235,0.1084180770432524,396.87200895459654,396.0046643382505,396.79,0.0151213488243157,0.0073154793390646,True,False,False,False,True,False,0.0,2.0
396.72,396.89,396.16,396.21,453162.0,396.5701,2023-01-23 14:30:00+00:00,4423,2023-01-23,14:30:00,396.55139490225326,396.53553531682087,396.4707797276556,0.1424699488049553,397.04065952287544,395.9008999324358,396.74,-0.1335887482986413,0.0005118399574974,False,False,False,False,False,True,0.0,2.07
399.95,399.95,399.91,399.91,492.0,399.9292,2023-01-24 11:50:00+00:00,5,2023-01-24,11:50:00,399.8447880826744,399.7738594548896,399.7105688223168,0.0574233814804178,399.9402623482385,399.48087529639514,399.9,0.002500625156301,0.0051296547279896,True,False,False,False,True,False,0.0,3.45
399.81,399.9,399.75,399.75,3642.0,399.8509,2023-01-24 11:54:00+00:00,25,2023-01-24,11:54:00,399.841316164479,399.818364311422,399.7602543152963,0.0584053906119374,399.9938758777441,399.52663275284857,399.89,-0.0350096276475996,0.0023780875256469,False,False,False,False,False,True,0.0,3.4
399.0,399.0,398.7,398.7,42301.0,398.8729,2023-01-24 13:41:00+00:00,256,2023-01-24,13:41:00,398.97782993413585,399.1407816163325,399.30306920087526,0.1130451373628683,399.7552497503267,398.85088865142376,399.0,-0.0751879699248148,-0.0092680950606093,False,True,True,False,False,False,4.8,0.0
398.8,398.82,398.8,398.82,1090.0,398.7841,2023-01-24 13:59:00+00:00,49,2023-01-24,13:59:00,398.7050890516797,398.7032070200656,398.7930739143257,0.1242967239564879,399.29026081015166,398.29588701849974,398.7,0.0300978179082028,-0.0023778735358966,False,False,False,True,False,False,4.81,0.0
397.14,397.14,397.09,397.09,727.0,397.0983,2023-01-25 11:52:00+00:00,11,2023-01-25,11:52:00,397.2514520081493,397.333455334512,397.42173006224345,0.0752288814907218,397.7226455882063,397.1208145362806,397.26,-0.0427931329607853,-0.0084276017132652,False,True,True,False,False,False,4.27,0.0
397.27,397.3,397.18,397.28,5335.0,397.2443,2023-01-25 12:00:00+00:00,57,2023-01-25,12:00:00,397.17099706052227,397.1809985413699,397.2623553147933,0.0801403532031908,397.58291672760606,396.94179390198053,397.17,0.0276959488380181,-0.0028916902562912,False,False,False,True,False,False,4.17,0.0
401.73,401.85,401.73,401.79,3195.0,401.7881,2023-01-26 12:34:00+00:00,35,2023-01-26,12:34:00,401.6500590779413,401.5492807369602,401.46099267485624,0.0821407957221088,401.7895558577447,401.1324294919678,401.75,0.0099564405725004,0.0053556430026295,True,False,False,False,True,False,0.0,4.29
401.32,402.77,400.9604,402.6,55548.0,401.7916,2023-01-26 13:00:00+00:00,524,2023-01-26,13:00:00,402.5403536871862,402.46870612656255,402.2894172041427,0.2137169051350983,403.1442848246831,401.4345495836023,402.55,0.0124208172897804,0.0112014132620074,True,False,False,False,False,True,0.0,4.88
